user,activity,posture,AVGNN,SDNN,MeanHR,MinHR,MaxHR,RMSSD,pNNxx,TINN,powerVLF,powerLF,powerHF,ratioHFLF
2,focused-passive,sit,781.26,77.09,76.799,64.865,95.663,32.985,10.705,387,33.333,40,17.333,2.7126
2,focused-passive,sit,761,59.607,78.843,68.792,94.937,27.502,6.1069,268,10,90,26.333,2.22
2,focused-passive,sit,712.44,64.652,84.218,70.472,101.59,29.8,7.619,297,33.333,10,15.333,2.8397
2,focused-passive,sit,749.61,59.956,80.042,70.028,97.561,32.086,9.5,258,33.333,90,17,2.1773
2,focused-passive,sit,735.71,57.369,81.554,70.588,98.782,32.354,11.302,258,30,40,18.667,2.0509
2,focused-passive,sit,767.83,66.968,78.143,67.858,94.787,39.374,16.71,346,66.667,46.667,19.333,1.2772
2,focused-passive,sit,765.95,66.346,78.334,65.804,101.35,38.266,11.509,372,66.667,53.333,21,1.1607
2,focused-passive,sit,758.79,54.604,79.074,68.823,93.371,33.435,10.406,261,26.667,13.333,15.333,1.8537
2,focused-passive,sit,775.67,62.178,77.352,67.522,93.139,40.345,17.922,270,10,11.667,15,1.7982
2,focused-passive,sit,743.79,71.578,80.668,64.13,101.83,37.752,11.194,377,20,86.667,18.333,1.8934
2,focused-passive,sit,744.21,55.222,80.622,68.681,97.466,32.098,7.2139,260,33.333,86.667,25.333,2.899
2,focused-passive,sit,931.6,81.674,64.405,54.113,96.712,42.247,19.375,406,23.333,83.333,25,98.067
2,focused-passive,sit,655.77,95.78,91.495,62.487,113.12,26.523,3.9387,349,33.333,70,19.333,4.1211
2,focused-passive,sit,885.29,80.676,67.775,58.962,88.522,59.176,30.267,465,66.667,11,15,1.5275
2,focused-passive,sit,797.24,118.57,75.26,59.583,102.81,52.426,21.333,644,33.333,83.333,19.333,2.8104
2,focused-passive,sit,884.66,88.165,67.823,56.872,83.589,56.86,29.882,435,33.333,60,15.333,2.8644
2,focused-passive,sit,862.15,84.07,69.594,58.881,96.494,45.984,22.832,393,20,11.667,20,3.1021
2,focused-passive,sit,810.74,112.94,74.006,57.826,101.87,36.615,15.405,467,33.333,70,25.333,3.7528
2,focused-passive,sit,864.81,112.02,69.38,59.172,103.59,48.068,20.52,406,33.333,73.333,23.333,1.3633
2,focused-passive,sit,931.6,81.674,64.405,54.113,96.712,42.247,19.375,406,23.333,83.333,25,98.067
2,focused-passive,sit,655.77,95.78,91.495,62.487,113.12,26.523,3.9387,349,33.333,70,19.333,4.1211
2,focused-passive,sit,679.23,32.256,88.335,81.389,103.52,13.881,68.182,147,33.333,46.667,26.667,2.0401
2,household-chores,stand,632.9,36.669,94.801,82.282,110.17,12.829,21.142,180,26.667,90,15.667,5.0838
2,household-chores,stand,590.96,31.872,101.53,90.799,113.98,8.3355,0,136,13.333,50,17.667,5.5841
2,household-chores,stand,647.36,46.556,92.684,70.588,105.56,17.909,1.2959,274,33.333,73.333,15,4.7219
